Index,CH_Id,PHA_LG
393,18,1939
394,12,2159
394,16,1280
394,17,6535
394,18,1943
395,15,3745
395,16,6253
395,17,8191
395,18,2158
396,14,1806
396,16,1976
396,17,4922
396,18,1426
397,12,2710
397,16,2727
397,17,8084
397,18,2423
398,11,2058
398,16,1327
398,17,4059
398,18,1566
399,10,2559
399,16,1492
399,17,4507
399,18,2100
400,10,3170
400,16,1160
400,17,5072
400,18,2289
401,13,2200
401,16,1687
401,17,4555
401,18,1466
402,12,3613
402,16,2021
402,17,6869
402,18,2110
403,5,1932
403,16,1476
403,17,1297
403,18,2538
404,13,2509
404,16,1884
404,17,4765
404,18,1690
405,12,2198
405,16,1937
405,17,3460
405,18,1326
406,9,2003
406,16,1265
406,17,3030
406,18,2593
407,9,2378
407,16,2089
407,17,5480
407,18,3135
408,10,2242
408,16,1579
408,17,3640
408,18,1889
409,10,3663
409,16,1237
409,17,5448
409,18,2533
410,12,1912
410,16,1470
410,17,3358
410,18,1416
411,5,2528
411,16,1135
411,17,4140
411,18,5895
412,7,2603
412,16,2244
412,17,2430
412,18,2089
413,9,1926
413,16,1122
413,17,3472
413,18,1699
414,11,3496
414,16,1222
414,17,1344
414,18,1143
415,11,1893
415,16,1221
415,17,2963
415,18,1464
416,2,1507
416,16,1229
416,17,1222
416,18,3580
417,14,1772
417,16,1667
417,17,4490
417,18,1621
418,9,3129
418,16,1381
418,17,6006
418,18,5337
419,8,1194
419,16,1588
419,17,3690
419,18,2696
420,11,2502
420,16,2019
420,17,3453
420,18,1744
421,14,1098
421,16,2533
421,17,7012
421,18,1568
422,8,2409
422,16,1174
422,17,3067
422,18,2104
423,6,3499
423,16,1116
423,17,2624
423,18,2924
424,10,3415
424,16,1195
424,17,5943
424,18,3047
425,12,2973
425,16,1882
425,17,6284
425,18,2792
426,8,3368
426,16,1299
426,17,3675
426,18,2789
427,13,1177
427,16,1688
427,17,5025
427,18,1802
428,11,1890
428,16,1548
428,17,3060
428,18,1785
429,14,1551
429,16,3517
429,17,4771
429,18,1363
430,14,1029
430,16,1444
430,17,5039
430,18,1416
431,12,1524
431,16,1169
431,17,5211
431,18,1802
432,2,1852
432,16,1419
432,17,1805
432,18,4395
433,13,1695
433,16,1829
433,17,5055
433,18,1285
434,7,2212
434,16,1193
434,17,3024
434,18,2820
