Index,CH_Id,ToA_ns,ToT_ns
191,16,224.0,22.5
191,17,222.0,26.5
191,18,225.5,25.0
192,7,229.0,19.5
192,16,226.5,23.5
192,17,226.0,27.0
192,18,225.5,31.0
193,11,222.0,31.5
193,16,226.5,18.0
193,17,223.0,27.0
193,18,226.5,21.0
194,10,223.0,28.0
194,16,224.5,23.0
194,17,222.0,28.5
194,18,224.5,25.5
195,11,216.5,55.5
195,16,221.5,21.0
195,17,220.0,26.0
195,18,226.0,16.5
196,9,218.0,32.0
196,16,219.5,29.0
196,17,222.5,25.0
196,18,223.0,24.0
197,12,216.0,30.0
197,16,223.0,14.5
197,17,216.5,30.5
197,18,222.5,19.0
198,10,223.0,28.5
198,16,223.5,22.5
198,17,223.0,31.5
198,18,225.5,24.5
199,6,224.5,23.0
199,16,222.0,27.5
199,17,224.0,26.0
199,18,222.5,29.5
200,2,222.5,12.5
200,16,214.0,32.5
200,17,228.0,7.0
200,18,214.0,34.0
201,2,220.0,28.0
201,16,221.5,21.5
201,17,230.0,10.5
201,18,219.0,32.0
202,7,221.0,29.5
202,16,223.0,22.5
202,17,222.0,27.0
202,18,220.5,31.0
203,5,223.0,25.5
203,16,221.0,25.5
203,17,228.0,17.5
203,18,222.0,27.0
204,13,223.0,40.5
204,16,227.5,24.0
204,17,221.5,44.0
204,18,227.0,27.5
205,6,220.5,31.5
205,16,221.0,31.0
205,17,224.0,24.5
205,18,221.5,30.5
206,10,223.0,25.0
206,16,225.5,18.0
206,17,219.5,36.0
206,18,223.0,27.5
207,6,216.0,28.0
207,16,216.5,26.0
207,17,222.5,15.5
207,18,216.5,29.5
208,11,220.0,34.5
208,16,225.5,17.5
208,17,220.0,31.0
208,18,225.0,21.5
209,9,224.0,32.0
209,16,229.0,18.5
209,17,226.5,28.0
209,18,230.0,21.5
210,7,225.0,36.0
210,16,228.5,22.0
210,17,228.5,22.0
210,18,228.0,28.0
211,13,217.0,33.5
211,16,226.5,12.0
211,17,216.5,32.5
211,18,225.5,14.5
212,8,225.0,27.5
212,16,227.0,20.5
212,17,227.0,27.5
212,18,226.5,29.0
213,10,230.0,11.0
213,16,221.0,29.5
213,17,220.0,32.5
213,18,225.5,21.5
214,2,210.5,33.0
214,16,211.5,27.5
214,17,224.5,7.5
214,18,211.5,32.0
215,9,223.0,35.5
215,16,223.5,32.5
215,17,222.5,35.0
215,18,226.5,28.5
216,15,222.0,36.0
216,16,226.5,19.5
216,17,219.5,39.5
216,18,230.0,18.0
217,7,222.5,53.5
217,16,223.5,38.0
217,17,225.5,29.0
217,18,225.0,34.0
218,11,214.5,34.5
218,16,219.0,21.5
218,17,216.5,26.0
218,18,223.5,15.5
219,5,214.0,38.5
219,16,216.5,23.5
219,17,222.0,16.5
219,18,214.5,33.5
220,12,222.5,24.0
220,16,221.0,30.0
220,17,220.0,32.0
220,18,227.0,18.0
221,5,216.5,39.5
221,16,219.0,27.0
221,17,224.0,18.5
221,18,217.0,31.5
222,6,222.0,23.0
222,16,219.5,29.0
222,17,224.5,17.5
222,18,221.0,28.0
223,2,215.5,31.5
223,16,216.5,29.0
223,17,227.5,9.5
223,18,215.0,36.0
224,7,221.5,27.5
224,16,223.5,20.5
224,17,225.0,17.5
224,18,222.0,27.0
225,4,222.5,28.0
225,16,221.0,30.5
225,17,228.5,16.5
225,18,221.0,35.0
226,2,211.5,43.5
226,16,214.5,26.0
226,17,223.0,12.5
226,18,212.5,35.0
227,5,220.5,26.5
227,16,219.0,28.0
227,17,223.0,22.0
227,18,219.0,32.0
228,15,223.5,28.5
228,16,227.0,18.0
228,17,220.5,33.5
228,18,230.0,13.5
229,5,222.0,34.5
229,16,221.0,32.0
229,17,229.5,14.5
229,18,222.0,33.0
230,15,225.0,19.0
230,16,219.5,21.5
230,17,220.0,23.5
230,18,218.5,27.5
231,13,220.0,62.0
231,16,223.0,34.5
231,17,219.0,65.0
231,18,225.5,32.5
232,7,220.0,31.0
232,16,223.5,18.0
232,17,223.0,23.5
232,18,220.5,30.0
233,6,223.0,34.5
233,16,223.0,30.5
233,17,227.5,25.0
233,18,223.5,31.5
234,7,221.0,34.5
234,16,222.0,26.0
234,17,224.5,24.0
234,18,222.0,30.5
235,13,212.5,36.5
235,16,225.0,6.5
235,17,213.5,28.5
235,18,221.5,14.0
236,9,219.5,36.0
236,16,223.0,23.5
236,17,219.5,38.0
236,18,221.5,34.0
237,10,220.0,24.0
237,16,223.0,18.5
237,17,218.5,27.0
237,18,223.0,18.5
238,12,218.5,27.5
238,16,222.5,18.0
238,17,218.0,30.5
238,18,228.5,11.0
239,12,214.5,24.0
239,16,223.5,9.0
239,17,212.0,30.0
239,18,225.5,7.0
240,10,220.0,31.5
240,16,221.0,24.5
240,17,225.0,18.0
240,18,227.5,14.5
241,7,223.0,32.5
241,16,225.0,23.5
241,17,225.0,26.0
241,18,223.5,33.0
242,2,219.5,40.5
242,16,223.0,24.5
242,17,228.0,20.5
242,18,220.0,41.0
243,6,220.0,33.5
243,16,226.5,16.0
243,17,223.5,24.0
243,18,220.0,33.5
244,6,222.0,24.0
244,16,220.0,28.5
244,17,225.5,21.0
244,18,220.5,28.5
245,8,227.0,5.5
245,16,217.0,27.0
245,17,217.5,28.0
245,18,217.0,28.5
246,4,222.5,22.5
246,16,217.0,32.0
246,17,223.0,23.0
246,18,217.5,36.0
247,12,215.5,34.0
247,16,225.0,13.5
247,17,216.0,34.0
247,18,222.5,20.0
248,2,221.5,15.5
248,16,215.5,25.5
248,17,225.0,10.0
248,18,214.0,32.0
249,2,219.5,26.5
249,16,218.5,27.5
249,17,227.0,16.0
249,18,217.5,35.5
250,13,221.5,29.0
250,16,225.5,15.5
250,17,220.0,33.0
250,18,224.5,19.5
251,5,225.0,23.5
251,16,223.0,29.0
251,17,227.5,19.0
251,18,223.0,30.0
252,11,217.5,32.5
252,16,221.5,20.0
252,17,218.5,24.0
252,18,227.0,11.0
253,13,218.0,35.0
253,16,228.0,10.0
253,17,217.5,33.0
253,18,224.0,21.5
254,9,216.5,31.5
254,16,226.0,10.5
