 //************************************************
//Board:5202
//File_Format_Version:3.3
//Janus_Release 4.2.0
//Acquisition_Mode:Spectroscopy
//Energy_Histo_NBins:8192
//Run#:19
//Start_Time_Epoch:1760354946190
//Start_Time_DateTime:Mon Oct 13 13:29:06 2025
//************************************************
TStamp,Trg_Id,Board_Id,Num_hits,ChannelMask,CH_Id,Data_type,PHA_LG,PHA_HG
1292524963.584,66,0,4,0x70400,16,0x1,1609,-1
1292524963.584,66,0,4,0x70400,17,0x1,4820,-1
1292524963.584,66,0,4,0x70400,18,0x1,2380,-1
1310335571.128,67,0,4,0x70200,9,0x1,1820,-1
1310335571.128,67,0,4,0x70200,16,0x1,1235,-1
1310335571.128,67,0,4,0x70200,17,0x1,4185,-1
1310335571.128,67,0,4,0x70200,18,0x1,2808,-1
1341493049.408,68,0,4,0x60180,7,0x1,1696,-1
1341493049.408,68,0,4,0x60180,8,0x1,2156,-1
1341493049.408,68,0,4,0x60180,17,0x1,3671,-1
1341493049.408,68,0,4,0x60180,18,0x1,1923,-1
1345881030.552,69,0,4,0x78000,15,0x1,2330,-1
1345881030.552,69,0,4,0x78000,16,0x1,1552,-1
1345881030.552,69,0,4,0x78000,17,0x1,6733,-1
1345881030.552,69,0,4,0x78000,18,0x1,1759,-1
1360074774.688,70,0,4,0x72000,13,0x1,1692,-1
1360074774.688,70,0,4,0x72000,16,0x1,1920,-1
1360074774.688,70,0,4,0x72000,17,0x1,4258,-1
1360074774.688,70,0,4,0x72000,18,0x1,1288,-1
1444189068.632,71,0,4,0x74000,14,0x1,1454,-1
1444189068.632,71,0,4,0x74000,16,0x1,1490,-1
1444189068.632,71,0,4,0x74000,17,0x1,5547,-1
1444189068.632,71,0,4,0x74000,18,0x1,1512,-1
1479430226.224,72,0,4,0x3c,2,0x1,1404,-1
1479430226.224,72,0,4,0x3c,3,0x1,2058,-1
1479430226.224,72,0,4,0x3c,4,0x1,1408,-1
1479430226.224,72,0,4,0x3c,5,0x1,2590,-1
1489238354.232,73,0,4,0x61800,11,0x1,1854,-1
1489238354.232,73,0,4,0x61800,12,0x1,3000,-1
1489238354.232,73,0,4,0x61800,17,0x1,2333,-1
1489238354.232,73,0,4,0x61800,18,0x1,1276,-1
1497814517.152,74,0,4,0x72000,13,0x1,1526,-1
1497814517.152,74,0,4,0x72000,16,0x1,2114,-1
1497814517.152,74,0,4,0x72000,17,0x1,5069,-1
1497814517.152,74,0,4,0x72000,18,0x1,1995,-1
1498566902.392,75,0,4,0x72000,13,0x1,1580,-1
1498566902.392,75,0,4,0x72000,16,0x1,1578,-1
1498566902.392,75,0,4,0x72000,17,0x1,4247,-1
1498566902.392,75,0,4,0x72000,18,0x1,1533,-1
1533346950.392,76,0,4,0x60060,5,0x1,5185,-1
1533346950.392,76,0,4,0x60060,6,0x1,2835,-1
1533346950.392,76,0,4,0x60060,17,0x1,3016,-1
1533346950.392,76,0,4,0x60060,18,0x1,4992,-1
1571821740.128,77,0,4,0x71000,12,0x1,1220,-1
1571821740.128,77,0,4,0x71000,16,0x1,1473,-1
1571821740.128,77,0,4,0x71000,17,0x1,3951,-1
1571821740.128,77,0,4,0x71000,18,0x1,1349,-1
1574967055.176,78,0,5,0x60c40,6,0x1,1491,-1
1574967055.176,78,0,5,0x60c40,10,0x1,356,-1
1574967055.176,78,0,5,0x60c40,11,0x1,1276,-1
1574967055.176,78,0,5,0x60c40,17,0x1,7695,-1
1574967055.176,78,0,5,0x60c40,18,0x1,3119,-1
1585328260.232,79,0,4,0x6000c,2,0x1,2389,-1
1585328260.232,79,0,4,0x6000c,3,0x1,2175,-1
1585328260.232,79,0,4,0x6000c,17,0x1,1938,-1
1585328260.232,79,0,4,0x6000c,18,0x1,2338,-1
1616336083.656,80,0,4,0x71000,12,0x1,1555,-1
1616336083.656,80,0,4,0x71000,16,0x1,1462,-1
1616336083.656,80,0,4,0x71000,17,0x1,6420,-1
1616336083.656,80,0,4,0x71000,18,0x1,2588,-1
1719980843.640,81,0,5,0x71800,11,0x1,313,-1
1719980843.640,81,0,5,0x71800,12,0x1,969,-1
1719980843.640,81,0,5,0x71800,16,0x1,2405,-1
1719980843.640,81,0,5,0x71800,17,0x1,5059,-1
1719980843.640,81,0,5,0x71800,18,0x1,2975,-1
1735190837.832,82,0,6,0x704a0,5,0x1,3120,-1
1735190837.832,82,0,6,0x704a0,7,0x1,3827,-1
1735190837.832,82,0,6,0x704a0,10,0x1,1848,-1
1735190837.832,82,0,6,0x704a0,16,0x1,429,-1
1735190837.832,82,0,6,0x704a0,17,0x1,4327,-1
1735190837.832,82,0,6,0x704a0,18,0x1,4337,-1
1755444678.408,83,0,5,0x71400,10,0x1,2135,-1
1755444678.408,83,0,5,0x71400,12,0x1,2153,-1
1755444678.408,83,0,5,0x71400,16,0x1,622,-1
1755444678.408,83,0,5,0x71400,17,0x1,4213,-1
1755444678.408,83,0,5,0x71400,18,0x1,1430,-1
1763012608.848,84,0,4,0x74000,14,0x1,1031,-1
1763012608.848,84,0,4,0x74000,16,0x1,3182,-1
1763012608.848,84,0,4,0x74000,17,0x1,4660,-1
1763012608.848,84,0,4,0x74000,18,0x1,1414,-1
1771314987.152,85,0,5,0x7c0,6,0x1,1172,-1
1771314987.152,85,0,5,0x7c0,7,0x1,1943,-1
